#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	files
#open	2018-12-12-15-18-47
#fields	ts	fuid	tx_hosts	rx_hosts	conn_uids	source	depth	analyzers	mime_type	filename	duration	local_orig	is_orig	seen_bytes	total_bytes	missing_bytes	overflow_bytes	timedout	parent_fuid	md5	sha1	sha256	extracted	extracted_cutoff	extracted_size
#types	time	string	set[addr]	set[addr]	set[string]	string	count	set[string]	string	string	interval	bool	bool	count	count	count	count	bool	string	string	string	string	string	bool	count
1544653127.140528	FGFvy61w6xoOFhASWh	216.58.219.46	192.168.174.129	CfZlMx2gIcab7AzdPe	HTTP	0	(empty)	text/html	-	0.000000	-	F	219	219	0	0	F	-	-	-	-	-	-	-
1544653138.716531	FAiS9A1DtpGroSt2ki	172.217.5.206	192.168.174.129	CbCedh3G2TVBBF1qJf	SSL	0	MD5,X509,SHA1	application/x-x509-user-cert	-	0.000000	-	F	1995	-	0	0	F	-	ecf7198c3d4c326c7fcc33f6b4e619b1	dc30ba1156e5657fce4033ff142e6ed2c2334ee4	-	-	-	-
1544653138.716531	FN0tGG5cIFXh4NACc	172.217.5.206	192.168.174.129	CbCedh3G2TVBBF1qJf	SSL	0	MD5,X509,SHA1	application/x-x509-ca-cert	-	0.000000	-	F	1120	-	0	0	F	-	c4b81c95681acacb644c0770add564e1	eeacbd0cb452819577911e1e6203db262f84a318	-	-	-	-
1544653138.716531	Fi13eUpGh6V3RiRWk	172.217.14.78	192.168.174.129	Cov0T4245Hxq6KQklf	SSL	0	MD5,X509,SHA1	application/x-x509-user-cert	-	0.000000	-	F	1995	-	0	0	F	-	ecf7198c3d4c326c7fcc33f6b4e619b1	dc30ba1156e5657fce4033ff142e6ed2c2334ee4	-	-	-	-
1544653138.716531	FKP6241nEBlCWXvGcc	172.217.14.78	192.168.174.129	Cov0T4245Hxq6KQklf	SSL	0	MD5,X509,SHA1	application/x-x509-ca-cert	-	0.000000	-	F	1120	-	0	0	F	-	c4b81c95681acacb644c0770add564e1	eeacbd0cb452819577911e1e6203db262f84a318	-	-	-	-
1544653141.252961	Fr1b1V1WciHRrWcA13	13.33.251.24	192.168.174.129	Cm73O7eGBH7ffYkF2	SSL	0	MD5,X509,SHA1	application/x-x509-user-cert	-	0.000000	-	F	3398	-	0	0	F	-	ec8ac65e89c73fcc8742582e2a4afa52	cffe411b8a86e30ffb14ae31eb4fd514e704fecf	-	-	-	-
1544653141.252961	FUvxBy28KXH2erccE1	13.33.251.24	192.168.174.129	Cm73O7eGBH7ffYkF2	SSL	0	MD5,X509,SHA1	application/x-x509-ca-cert	-	0.000000	-	F	1101	-	0	0	F	-	eb268e55d434febda36a979a44654b6d	917e732d330f9a12404f73d8bea36948b929dffc	-	-	-	-
1544653141.252961	FWRbYTP2YMnl2kH2d	13.33.251.24	192.168.174.129	Cm73O7eGBH7ffYkF2	SSL	0	MD5,X509,SHA1	application/x-x509-ca-cert	-	0.000000	-	F	1174	-	0	0	F	-	e865a22aae524d26869af0448d6fd896	06b25927c42a721631c1efd9431e648fa62e1e39	-	-	-	-
1544653141.252961	FCzJvn42VErQv7Qrgb	13.33.251.24	192.168.174.129	Cm73O7eGBH7ffYkF2	SSL	0	MD5,X509,SHA1	application/x-x509-ca-cert	-	0.000000	-	F	1145	-	0	0	F	-	c6150925cfea5941ddc7ff2a0a506692	9e99a48a9960b14926bb7f3b02e22da2b0ab7280	-	-	-	-
1544653141.252961	Faqkpm2RphqMgVATbd	13.33.251.24	192.168.174.129	Cm73O7eGBH7ffYkF2	SSL	0	(empty)	application/ocsp-response	-	0.000000	-	F	471	-	0	0	F	-	-	-	-	-	-	-
1544653141.479319	FPFKUj3IwpkLX6BhHi	13.33.251.21	192.168.174.129	CZ6SwO2AVhlxZ3nom2	SSL	0	MD5,X509,SHA1	application/x-x509-user-cert	-	0.000000	-	F	1427	-	0	0	F	-	37737cb8b6f7e20da723639f4b1e0cd5	a40b66ae110b63a42224b0da5487ef54caa16ebc	-	-	-	-
